Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2021,India,Tamil Nadu,Cotton,23.36,2472.54,3.64,2.53,7,72.51,44.22,69.46,74.41,Organic Farming,1030.79
2006,India,Punjab,Vegetables,34.97,963.87,18.28,2.556,4,83.66,49.21,21.74,38.71,Organic Farming,1008.1
2004,India,Punjab,Fruits,6.61,2557.8,3.75,0.79,3,98.91,36.22,7.93,43.66,No Adaptation,392.46
2023,India,Punjab,Corn,13.95,1382.77,12.82,3.47,10,30.83,1,25.05,60.11,Crop Rotation,521.02
2001,India,Punjab,Coffee,2.54,312.66,14.16,1.935,6,97.74,17.37,15.23,74.86,Organic Farming,304.29
2014,India,Tamil Nadu,Fruits,-1.08,2117.05,3.77,2.85,0,58.09,12.1,14.69,96.24,Crop Rotation,819.46
2009,India,Punjab,Rice,25.94,2158.75,2.68,1.53,3,20.99,48.57,18.71,62.5,Drought-resistant Crops,384.62
2023,India,Punjab,Sugarcane,-1.69,675.38,15.57,2.673,2,97.03,41.02,95.85,58.48,No Adaptation,1097.74
2001,India,Maharashtra,Vegetables,31,516.98,23.75,1.548,3,31.59,8.12,47.65,67.63,Crop Rotation,472.05
1996,India,Maharashtra,Corn,26.24,2803.48,4.72,2.79,6,12.74,5.82,38.38,80.46,Water Management,427.92
2013,India,Tamil Nadu,Wheat,34.7,2301.93,11.71,2.79,3,43.03,47.59,69.62,30.24,Crop Rotation,551.95
1993,India,Tamil Nadu,Sugarcane,-1.3,1505,23.9,0.828,5,21.44,42.36,86.54,66.9,Water Management,345.11
1995,India,Punjab,Sugarcane,18.19,710.71,23.69,3.96,0,60.14,37.27,70.15,49.87,Drought-resistant Crops,916.23
2002,India,West Bengal,Cotton,18.71,563.38,11.94,2.38,5,80.85,29.7,0.03,30.97,Water Management,605.36
2023,India,Tamil Nadu,Fruits,2.34,2918.75,15.28,2.169,8,92.9,32.72,74.76,51.39,No Adaptation,836.49
2001,India,Tamil Nadu,Barley,17.63,2057.43,18.1,2.16,2,88.91,11.37,34.93,57.66,Crop Rotation,336.1
1998,India,West Bengal,Wheat,32.65,2640.57,5.99,3.76,9,43.8,48.98,53.27,76.36,Crop Rotation,1568.41
2022,India,West Bengal,Soybeans,8.92,2329.91,4.27,1.75,4,87.08,23.18,35.87,37.79,Water Management,850.41
2010,India,Tamil Nadu,Coffee,21.71,600.1,8.93,2.6,5,79.29,23.99,71.42,62.91,Water Management,679.9
2016,India,West Bengal,Corn,4.89,621.43,14.88,2.46,0,71.25,42.96,30.56,36.86,No Adaptation,799.42
1997,India,Tamil Nadu,Cotton,33.68,1352.67,2.07,1.04,1,84.05,3.77,77.11,86.75,Organic Farming,289.33
2004,India,Punjab,Vegetables,9.96,1685.45,17.89,1.989,3,42.77,33.13,41.24,48.86,Water Management,506.63
2021,India,Tamil Nadu,Cotton,5.36,1478.53,18.2,1.332,8,92.27,10.09,99.2,65.86,No Adaptation,487.76
1996,India,Punjab,Fruits,5.87,1622.77,10.76,2.88,9,63.8,14.38,12.53,72.78,Organic Farming,577.19
1998,India,Punjab,Corn,11.3,2882.02,15.62,1.584,9,32.23,47.3,90.87,66.17,No Adaptation,386.97
2000,India,Punjab,Barley,3.56,2044.92,15.87,1.035,10,35.96,37.04,8.32,90.28,Water Management,227.58
2002,India,Punjab,Rice,8.05,721.62,24.53,1.611,10,33.89,29.92,13.88,65.18,Drought-resistant Crops,514.8
2012,India,Tamil Nadu,Barley,16.7,665.03,17.92,3.069,8,23.67,24.49,5.37,35.71,Crop Rotation,1505.91
2012,India,West Bengal,Sugarcane,21.86,952.86,3.43,2.86,0,35.41,31.09,22.1,92.72,Organic Farming,585.51
2013,India,West Bengal,Coffee,29.07,2735.11,10.13,1.18,2,69.06,34.55,31.41,50.44,No Adaptation,442.08
1997,India,Maharashtra,Soybeans,5.73,1984.28,3.48,1.79,3,48.58,45.42,98.01,55.81,Drought-resistant Crops,799.56
1997,India,Tamil Nadu,Sugarcane,-3.98,1064.65,6.08,2.1,5,73.85,34.33,26.51,80.27,Drought-resistant Crops,886.28
2004,India,West Bengal,Cotton,9.68,2612.98,13.04,2.9,7,89.4,17.22,52.99,36.56,Water Management,1193.5
2017,India,West Bengal,Fruits,1.94,1747.68,12.06,0.61,4,13.56,38.69,25.11,56.05,No Adaptation,147.17
2005,India,Tamil Nadu,Soybeans,21.61,1270.11,10.32,2.3,6,29.3,33.19,88.97,42.01,Organic Farming,632.28
2019,India,West Bengal,Cotton,-1.24,1810.72,14.49,0.58,1,12.37,19.63,70.57,36.28,Crop Rotation,148.21
2010,India,West Bengal,Vegetables,11.96,746.3,22.7,2.637,7,71.41,37.56,23.45,60.61,Water Management,661.22
2001,India,Punjab,Rice,18.62,1930.92,24.18,1.377,6,25.52,14.17,17.07,87.37,Crop Rotation,411.98
2013,India,Tamil Nadu,Soybeans,25.11,2994.1,24.55,2.529,8,84.47,30.5,26.68,37.48,Crop Rotation,444.89
2010,India,Punjab,Rice,-1.25,495.64,8.78,2.205,7,32.91,44.81,94.37,66.52,Water Management,1086.94
2002,India,Tamil Nadu,Rice,-0.74,558.46,6.36,2.2,4,37.52,45.79,25.24,87.55,No Adaptation,1018.91
2009,India,Maharashtra,Coffee,16.17,1473.43,1.3,2.1,6,47.3,25.89,38.57,57.45,Organic Farming,565.68
2001,India,Tamil Nadu,Barley,6.16,882.55,4.87,2.46,5,89.82,7.98,16.82,49.53,Water Management,316.51
2011,India,Tamil Nadu,Rice,12.5,884.31,22.58,2.862,4,14.37,32.36,71.52,69.92,Drought-resistant Crops,783.17
1992,India,Punjab,Vegetables,14.72,1462.31,10.85,2.47,1,69.72,44.79,7.79,84.99,Drought-resistant Crops,460.9
2014,India,Tamil Nadu,Fruits,22.02,2959.07,10.58,2.64,6,63.11,15.42,93.38,78.12,Water Management,618.2
2005,India,Punjab,Vegetables,-1.43,309.88,5.77,0.963,3,68.86,41.63,55.45,89.57,Crop Rotation,315.6
2004,India,Punjab,Corn,-1.92,1553.18,9.02,2.21,5,52.39,26.92,9.58,60.37,Organic Farming,544.18
2015,India,West Bengal,Soybeans,28.52,1487.83,11.01,3.79,0,24.77,49.39,6.18,73.88,No Adaptation,866.51
2011,India,Punjab,Fruits,7.77,1924.96,5.84,2.11,6,22.65,26.97,50.83,85.03,No Adaptation,580.74
2022,India,West Bengal,Sugarcane,29.19,1245.07,4.9,0.87,10,95.88,18.99,48.28,73.98,Drought-resistant Crops,268.78
2005,India,Maharashtra,Rice,33.5,1208.04,27.97,1.71,3,24.64,42.13,77.81,49.11,Water Management,735.5
1995,India,Maharashtra,Coffee,-0.32,1141.19,3.21,1.38,9,66.82,29.42,18.5,68,Crop Rotation,151.83
2011,India,West Bengal,Rice,4,495.7,6.04,0.9,0,23.65,1.66,2.9,52.57,No Adaptation,354.38
2006,India,West Bengal,Cotton,12.22,2434.56,5.98,2.56,7,61.23,35.29,10.03,57.6,Crop Rotation,734.38
2004,India,Punjab,Corn,5.73,1254.7,29.78,1.143,2,41.22,44.87,22.95,62.23,Water Management,442.92
1995,India,Punjab,Vegetables,13.98,1940.83,6.11,4.1,6,74.79,33.24,74.95,96.05,Drought-resistant Crops,1026.14
2008,India,West Bengal,Wheat,24.77,2662.95,15.25,2.835,1,41.44,13.99,91.46,75.57,Crop Rotation,1214.75
2018,India,Tamil Nadu,Coffee,32.69,501.57,23.2,3.069,10,25.47,36.48,31.76,80.45,Water Management,1471.1
2008,India,Punjab,Vegetables,25.73,1001.81,27.24,1.917,7,53.07,45.35,77.46,48.24,Crop Rotation,936.65
1998,India,Punjab,Sugarcane,19.92,1248.01,6.12,4.96,6,67.09,30.13,64.61,83.45,Organic Farming,2346.47
2008,India,Maharashtra,Corn,28.74,1993.18,15.72,1.692,1,68.23,26.76,20.18,40.46,Crop Rotation,184.95
2013,India,Tamil Nadu,Cotton,27.57,2788.88,4.77,3.82,9,93.59,19.88,81.91,89.29,Organic Farming,1880.51
2002,India,Maharashtra,Fruits,26.22,2489.59,26.61,3.384,4,32.59,4.61,98.32,70.52,Water Management,943.94
1996,India,Maharashtra,Coffee,4.33,2779.86,2.39,0.67,2,99.87,30.28,84.8,63.03,Water Management,250.12
2001,India,Tamil Nadu,Wheat,25.27,2689.42,16.56,3.429,5,26.46,36.52,32.63,71.41,No Adaptation,866
2012,India,Tamil Nadu,Rice,24.11,486.54,24.49,2.25,8,80.37,20.04,51.03,81.55,Water Management,1074.84
1992,India,Maharashtra,Corn,33.62,1770.27,4.62,0.81,9,87.29,5.63,41.84,31.48,No Adaptation,403.93
2022,India,West Bengal,Barley,-0.25,1502.83,25.8,0.522,10,23.85,25.06,16.16,92.62,Drought-resistant Crops,61.84
2024,India,Tamil Nadu,Vegetables,6.33,1216.1,10.61,2.53,2,11.11,28.44,28.92,90.54,Water Management,1127.27
2009,India,Maharashtra,Wheat,23.67,495.99,19.9,2.232,2,25.36,9.6,39.13,73.34,Drought-resistant Crops,555.94
2023,India,Punjab,Barley,16.4,430.2,6.97,4.014,2,77.52,19.13,85.36,75.64,Water Management,1937.95
2013,India,West Bengal,Fruits,12.25,2126.11,5.14,4.83,9,19.19,14.46,6.03,32.76,No Adaptation,1957.66
2004,India,West Bengal,Barley,4.72,1008.19,23.3,1.512,9,61.14,9.89,18.84,37.82,No Adaptation,500.46
1994,India,Maharashtra,Sugarcane,29.88,272.95,4.72,0.729,7,89.09,9.75,7.04,38.13,Crop Rotation,233.26
1995,India,Tamil Nadu,Corn,4.27,2264.28,7.07,2.72,9,42.69,47.35,45.28,86.68,Organic Farming,541.88
2010,India,West Bengal,Barley,-3.97,2282.33,6.4,0.56,9,82.22,42.2,98.26,34.62,Crop Rotation,56.37
2014,India,West Bengal,Fruits,25.69,1978.39,22.46,0.72,9,27.3,39.72,7.19,55.51,Water Management,171.57
1992,India,West Bengal,Vegetables,0.05,2090.66,16.36,2.349,6,56.48,36.53,36.2,99.95,Water Management,745.1
1993,India,Tamil Nadu,Coffee,4.35,328.66,1.63,1.602,5,29.71,1.15,14.62,47.55,No Adaptation,584.23
2017,India,Maharashtra,Coffee,28.3,2294.46,24.49,3.348,9,30.7,12.36,23.34,35.83,Water Management,952.82
2007,India,Maharashtra,Sugarcane,4.09,585.9,25.51,1.089,0,62.19,37.14,85.07,37.57,Crop Rotation,151.82
2002,India,West Bengal,Sugarcane,32.67,1620.57,22.65,2.358,7,53.84,20.26,84.67,78.03,Crop Rotation,1150.22
1999,India,Punjab,Sugarcane,14.05,2037.31,12.43,4,9,64.05,16.43,46.97,90.72,Drought-resistant Crops,418.55
1994,India,West Bengal,Vegetables,32.4,212.57,5.16,3.015,4,23.19,8.82,32.36,42.4,No Adaptation,374.88
2009,India,Tamil Nadu,Barley,17.22,1459.91,15.54,2.943,6,97.66,45.8,50.38,35.45,No Adaptation,1037.24
1995,India,Punjab,Corn,23.5,389.23,0.66,0.918,4,89.31,5.59,26.68,87.04,No Adaptation,148.9
2014,India,West Bengal,Fruits,29.11,1863.7,2.38,1.1,8,75.28,49.53,94.51,41.65,No Adaptation,311.44
2020,India,Tamil Nadu,Wheat,29.3,834.96,13.15,2.31,1,44.95,33.14,78.84,87.47,Crop Rotation,383.25
2021,India,Tamil Nadu,Barley,-0.81,271.7,19.63,2.322,0,38.58,12.55,67.88,82.29,Water Management,428.07
1997,India,Maharashtra,Cotton,22.86,1698.64,7.52,1.7,1,88.95,27.71,56.12,80.47,No Adaptation,831.65
2011,India,Punjab,Barley,8.89,2775.15,11.28,2.55,9,23.44,41.33,58.96,55.17,Drought-resistant Crops,641.09
1992,India,West Bengal,Vegetables,15.97,1638.2,11.77,4.38,2,63.58,33.33,13.56,37.27,Drought-resistant Crops,1048.74
2019,India,Tamil Nadu,Wheat,19.24,2818.89,9.36,3.49,9,10.6,40.88,76.01,85.49,Organic Farming,746.18
1995,India,Tamil Nadu,Coffee,11.17,744.01,1.91,1.84,9,14.72,42.27,76.53,33.15,Organic Farming,274
2010,India,Maharashtra,Soybeans,15.37,2236.33,24.45,3.573,1,94.58,35.24,61.11,42.31,Drought-resistant Crops,1276.83
1991,India,Tamil Nadu,Sugarcane,6.68,2178.73,25.54,1.98,3,40.3,35.17,94.37,72.72,Drought-resistant Crops,767.22
2009,India,Punjab,Fruits,30.43,2608.13,7,1.17,9,51.44,42.24,99.65,41.64,Crop Rotation,147.82
2014,India,Maharashtra,Wheat,32.53,205.54,19.1,2.961,8,54.44,33.66,90.27,61.88,No Adaptation,463.87
2014,India,Tamil Nadu,Coffee,10.76,2917.65,1.5,4.8,8,24.72,47.18,20.96,83.02,Crop Rotation,1278.13
1991,India,Maharashtra,Barley,14.06,1707.41,22.61,4.05,2,34.9,40.58,67.97,30.4,Organic Farming,1727.33
2018,India,West Bengal,Vegetables,24.11,782.55,17.95,1.485,5,54.61,15.34,91.22,87.39,Organic Farming,447.24
2001,India,West Bengal,Rice,0.43,1531.41,11.87,1.46,10,14.69,44.09,77.82,78.35,Crop Rotation,706.49
2008,India,Punjab,Vegetables,15.17,2280.09,15.54,1.917,10,89.15,34.4,53.07,85.37,No Adaptation,857.79
2012,India,Tamil Nadu,Fruits,29.02,2032.93,4.1,1.25,3,36.04,31.9,72.15,87.12,Crop Rotation,350
2019,India,Maharashtra,Coffee,22.97,1513.77,11.67,3.37,6,65.72,5.21,98.64,61.07,Crop Rotation,348.89
2004,India,Punjab,Fruits,-1.46,1001.28,21.53,0.522,2,78.28,14.75,65.84,88.87,No Adaptation,146.1
2013,India,Punjab,Cotton,25.57,2352.28,9.78,1.65,7,65.78,21.8,69.6,78.62,Drought-resistant Crops,344.96
1995,India,West Bengal,Corn,7.57,536.25,25.74,2.502,7,11.93,23.14,29.26,38.27,No Adaptation,1044.81
2010,India,Maharashtra,Soybeans,11.48,1833.56,23.84,3.438,1,92.83,48.1,73.76,81.02,Water Management,1499.41
1992,India,Punjab,Soybeans,15.23,2871,11.81,2.5,3,28.53,10.49,28,67.46,Organic Farming,1235.33
1992,India,Tamil Nadu,Fruits,18.35,2711.12,10.15,3.36,3,18.18,15.14,52.95,67.11,Drought-resistant Crops,1215.14
1991,India,Punjab,Rice,15.05,2603.85,14.16,3.11,1,89.75,15.39,91.94,84.37,Organic Farming,1172.77
2015,India,West Bengal,Wheat,15.47,2930.44,26.18,3.744,5,48.04,0.43,74.86,85.94,Organic Farming,1111.7
1995,India,Maharashtra,Wheat,32.99,2031.79,29.86,2.952,1,55.88,19.72,30.35,92.22,No Adaptation,916.61
2017,India,West Bengal,Rice,2.28,2258.67,11.86,1.14,10,93.59,25.32,71.9,74.34,No Adaptation,377.26
2009,India,Punjab,Corn,0.5,1574.17,9.51,0.54,10,29.51,6.81,44.72,71.09,Crop Rotation,257.5
2012,India,Tamil Nadu,Rice,0.77,2662.65,9.61,1,1,23.1,20.81,98.14,79.42,Drought-resistant Crops,403.65
2012,India,Punjab,Coffee,13.05,601.38,19.38,4.104,0,56.72,45.91,52.41,34.44,Water Management,1991.76
2006,India,Maharashtra,Barley,27.6,2251.54,28.49,1.854,4,82.49,15.48,27.68,61.07,Organic Farming,643.33
2024,India,West Bengal,Fruits,33.99,1562.77,17.51,1.071,10,73.53,11.56,33.71,30.1,Organic Farming,331.85
2016,India,Maharashtra,Vegetables,8.41,477.4,27.39,1.62,5,99,39.7,26.25,44.53,No Adaptation,718.03
2019,India,Tamil Nadu,Soybeans,10.92,2560.13,19.27,2.313,7,66.78,36.01,68.27,38.41,No Adaptation,666.84
1996,India,West Bengal,Cotton,4.59,1203.67,27.49,1.521,8,92.6,10.13,37.76,47.69,No Adaptation,198.88
2022,India,Punjab,Fruits,28.63,2859.89,25.92,2.52,4,43.99,44.84,6.19,65.24,No Adaptation,279.48
2017,India,Maharashtra,Soybeans,22.13,1418.55,18.06,3.339,2,87.61,11.03,57.77,56.37,Drought-resistant Crops,358.17
1990,India,Punjab,Vegetables,19.37,2903.4,15.42,3.33,1,52.22,33.24,47.88,40.36,Organic Farming,1008.34
2024,India,Punjab,Cotton,34.43,1688.22,27.84,0.774,8,39.68,25.01,49.69,79.13,Crop Rotation,170.29
2000,India,West Bengal,Soybeans,33,742.94,14.82,3.94,10,92.85,43.05,17.8,39.66,No Adaptation,451.97
2022,India,Tamil Nadu,Cotton,21.95,2465.67,2.86,2.59,10,51.17,31.43,91.32,89.48,Crop Rotation,473.5
1999,India,West Bengal,Cotton,27.88,1027.21,4.27,3.08,6,90.36,19.43,27.58,66.7,Organic Farming,1155.98
1990,India,Tamil Nadu,Soybeans,24.43,1191.16,1.37,1.3,8,12.78,34.8,40.96,61.55,Organic Farming,236.13
1990,India,Tamil Nadu,Corn,22.93,1894.74,7.3,2.21,8,74.87,42.63,4.93,80.33,Water Management,542.77
1993,India,West Bengal,Sugarcane,5.07,1476.48,27.48,2.691,7,74.2,16.67,18.13,46.28,No Adaptation,989.17
2014,India,Punjab,Wheat,5.43,1137.39,14.52,2.36,8,39.83,41.88,60.65,54.65,Drought-resistant Crops,288.79
2004,India,West Bengal,Coffee,18.8,2152.37,24.33,1.386,8,77.8,22.07,77.23,75.37,Drought-resistant Crops,339.58
2013,India,Tamil Nadu,Vegetables,28.55,517.65,20.84,0.927,1,99.51,19.58,36.18,33.13,Drought-resistant Crops,121.5
1996,India,Tamil Nadu,Rice,8.67,977.92,23.19,1.854,10,58.62,33,4.55,31.16,Drought-resistant Crops,204.08
2001,India,West Bengal,Rice,1.9,722.54,15.46,1.593,0,51.13,0.72,97.98,82.41,Water Management,478.97
1994,India,West Bengal,Rice,29.69,1293.54,28.03,2.52,1,46.52,11.1,27.6,85.41,No Adaptation,1042.64
2009,India,Maharashtra,Barley,3.03,1364.67,25.08,2.106,5,85.9,17.39,27.24,77.78,Water Management,1009.83
1991,India,Tamil Nadu,Corn,-4.33,1300.8,15.63,1.773,7,73.62,4.25,78.64,97.25,No Adaptation,427.83
2017,India,Punjab,Soybeans,-1.9,2471.27,25.73,2.484,1,27.38,1.39,9.24,83.22,No Adaptation,290.5
2012,India,Tamil Nadu,Coffee,18.91,2850.46,2.53,3.71,2,64.96,32.34,44.53,38.37,Organic Farming,1356.92
2005,India,West Bengal,Rice,24.89,1130.54,21.62,1.584,0,90.18,39.19,42.77,70.88,No Adaptation,167.13
2024,India,Punjab,Cotton,-1.25,1241.33,18,0.81,4,14.62,28.22,10.06,77.37,Drought-resistant Crops,298.39
2006,India,West Bengal,Fruits,26.96,1428.16,28.8,3.339,5,48.74,22.47,54.75,37.13,Crop Rotation,1391.46
1998,India,Punjab,Wheat,18.85,660.44,3.61,4.4,10,55.02,37.57,84.85,61.01,Drought-resistant Crops,2151.74
1992,India,Punjab,Corn,27.33,1899.37,18.23,1.872,8,94.77,23.65,46.93,75.9,Water Management,613.81
2000,India,Maharashtra,Soybeans,32.98,1241.47,16.54,1.332,2,51.21,9.06,94.4,66.11,Water Management,248.63
1992,India,Maharashtra,Wheat,3.48,2033.66,28.47,1.287,0,53.24,24.41,40.44,45.84,Water Management,459.91
2022,India,Punjab,Coffee,2.99,920.3,15.94,0.918,9,63.62,4.56,42.69,41.47,Water Management,204.1
1997,India,Maharashtra,Cotton,-0.89,1016.89,28.22,0.693,10,80.7,31.91,7.26,67.28,No Adaptation,216.7
2014,India,Tamil Nadu,Fruits,31.08,2375.34,27.85,1.8,5,60.6,8.79,44.68,72.04,No Adaptation,496.73
1994,India,Punjab,Cotton,15.38,1752.64,26.41,2.934,0,65.66,5.61,62.03,40.48,Organic Farming,418.52
2003,India,Punjab,Wheat,23.84,2867.72,0.79,2.65,10,33.73,43.28,50.77,59.26,Drought-resistant Crops,278.28
2020,India,Tamil Nadu,Corn,12.64,631.91,11.96,2.95,4,50.4,48.55,69.32,33.41,Drought-resistant Crops,1082.3
1994,India,Punjab,Coffee,34.85,1230.78,16.24,3.492,10,50.71,4.64,37.54,96.95,Organic Farming,1647.97
2011,India,Tamil Nadu,Wheat,13.72,854.35,18.42,1.773,0,56.56,40.75,9.5,93.13,Drought-resistant Crops,204.15
2010,India,Tamil Nadu,Coffee,7.87,1955.66,3.34,1.09,3,34.03,42.85,78.72,42.06,No Adaptation,149.83
1994,India,Maharashtra,Vegetables,21.24,2897.47,2,3.48,4,78.94,28.97,95.22,32.25,Water Management,537.68
2006,India,Maharashtra,Soybeans,0.87,709.34,7.6,0.61,5,28.77,9.83,43.84,85.29,Water Management,223.24
2024,India,Tamil Nadu,Corn,3.06,503.92,2.13,2.62,4,76.56,33.41,25.71,59.29,Crop Rotation,1159.86
2001,India,Punjab,Barley,12.1,2848.98,19.94,4.095,3,74.94,14.06,87.96,73.48,Drought-resistant Crops,633.21
1992,India,Punjab,Corn,30.26,1943.98,9.13,3.22,2,99.28,23.8,74.34,54.04,Crop Rotation,1075.8
2015,India,Tamil Nadu,Cotton,4.56,2965.15,26.61,2.412,0,50.78,40.47,99.05,85.31,Drought-resistant Crops,884.27
2001,India,Maharashtra,Cotton,12.86,920.44,25.23,2.376,7,96.43,15.84,67.06,41.07,Water Management,457.72
1999,India,Maharashtra,Fruits,27.01,1161.47,20.91,2.754,2,47.2,47.28,54.68,96.58,No Adaptation,1192.53
2008,India,Tamil Nadu,Wheat,28.39,1321.79,9.12,3.79,2,89.43,46.7,75.2,59.47,Crop Rotation,419.28
2024,India,Punjab,Vegetables,23.91,1806.7,1.43,2.69,0,26.61,20.94,11.07,94.81,Drought-resistant Crops,757.02
2006,India,Maharashtra,Barley,5.56,1210.16,2.4,2.62,1,86.19,40.93,43.37,32.39,No Adaptation,556.33
1992,India,Punjab,Cotton,1.9,2362.82,28.11,0.729,3,70.47,12.62,32,32.05,Crop Rotation,136.41
1997,India,Punjab,Corn,12.89,2548.41,13.68,1.99,0,44.59,25.9,54.7,75.45,No Adaptation,799.93
2003,India,Maharashtra,Wheat,-1.22,399.11,23.37,0.954,5,67.59,37.99,90.18,93.49,Organic Farming,432.97
1995,India,Punjab,Fruits,30.8,1866.51,18.8,3.078,2,21.19,49.07,54.41,70.67,Drought-resistant Crops,318.72
2016,India,Maharashtra,Barley,15.47,1657.83,6.01,4.77,1,17.08,44.13,61.89,61.39,No Adaptation,1045.25
1999,India,West Bengal,Coffee,12.49,547.38,25.91,3.006,5,44.12,27.72,4.45,79.82,No Adaptation,632.44
2003,India,Maharashtra,Rice,18.57,921.28,8.52,2.49,6,27.25,17.16,19.03,99.51,Organic Farming,767.49
2020,India,West Bengal,Corn,23.5,919.07,9.7,2.32,2,10.66,21.54,77.56,56.99,Crop Rotation,545.06
2000,India,Maharashtra,Vegetables,20.95,1986.89,16.58,1.224,10,19.08,42.75,32.16,94.2,Water Management,300.51
2008,India,Tamil Nadu,Sugarcane,11.07,1613.86,15.78,4.356,9,11.16,32.57,65.05,57.66,No Adaptation,1661.16
2012,India,West Bengal,Sugarcane,17.97,2749.07,4.86,3.41,6,25.32,48.26,39.87,89.33,No Adaptation,628.16
2024,India,Maharashtra,Sugarcane,28.04,2777.97,1.44,3.75,6,95.66,47.42,96.5,90.47,No Adaptation,1216.51
2021,India,Punjab,Soybeans,17.4,2906.88,10.1,4.13,5,21.22,32.22,18.52,38.43,Drought-resistant Crops,919.24
2006,India,West Bengal,Wheat,6.93,2321.81,9.75,0.97,4,46.28,48.06,18.82,62.91,Water Management,219.64
2017,India,Tamil Nadu,Corn,16.55,1237.85,14.94,3.41,6,67.58,22.83,61.33,51.81,No Adaptation,1658.53
1992,India,Maharashtra,Fruits,20.31,2061.4,11.85,3.8,4,95.95,37,7.74,85.49,Organic Farming,731.82
1999,India,West Bengal,Rice,31.94,749.95,2.09,1.82,7,45.39,0.29,8.97,90.79,Organic Farming,800.81
2020,India,Punjab,Rice,0.94,1409.52,5.6,1.53,5,12.61,1.92,25.54,82.78,Water Management,432.47
2021,India,West Bengal,Fruits,24.15,1431.9,15.5,0.792,10,95.2,21.02,22.88,55.02,Crop Rotation,355.5
2006,India,Punjab,Sugarcane,30.04,2936.51,0.71,1.55,4,29.09,41.69,75.08,62.85,Drought-resistant Crops,716.27
1990,India,Maharashtra,Wheat,16.36,1448.12,0.79,2.09,5,40.86,19.41,77.64,76.05,Drought-resistant Crops,475.95
2017,India,Maharashtra,Rice,26.65,297.01,6.66,3.429,4,18.24,25.12,52.69,48.45,Drought-resistant Crops,949.54
2004,India,Tamil Nadu,Soybeans,30.1,2081.54,18.75,3.42,2,48.36,12.81,39.6,81.87,No Adaptation,1484.54
2011,India,West Bengal,Barley,15.66,2700.34,5.48,1.87,0,23.34,24.72,5.25,51.14,Water Management,359.28
1998,India,West Bengal,Fruits,25.67,2510.93,10.83,2.76,2,71.24,42.17,42.05,64.3,No Adaptation,1305.07
2006,India,West Bengal,Rice,33.96,1343.47,11.84,3.52,2,39.17,39.95,84.82,43.36,No Adaptation,880.52
1996,India,West Bengal,Soybeans,28.34,1697.09,26.64,0.837,1,23.48,13.11,2.2,40.79,Crop Rotation,416.57
2003,India,Maharashtra,Wheat,29.58,1441.1,22.89,1.602,6,54.33,46.51,41.82,78.16,Organic Farming,378.46
2005,India,Maharashtra,Barley,-2.78,1897.44,24.28,2.682,0,62.77,4.85,27.86,66.46,Drought-resistant Crops,557.32
1996,India,Tamil Nadu,Soybeans,-4.48,1493.07,21.21,0.567,5,11.34,12.21,9.11,48.61,No Adaptation,91.77
2013,India,Punjab,Rice,11.94,394.04,15.53,4.059,6,57.87,10.05,89.07,87.92,No Adaptation,954.85
1992,India,Punjab,Barley,17.91,2597.89,27.46,2.34,4,78.74,38.51,97.25,30.23,Drought-resistant Crops,768.04
2015,India,Maharashtra,Vegetables,21.76,202.76,18.9,1.089,2,29.45,28.27,87.16,31.1,Organic Farming,408.66
1995,India,Punjab,Barley,23.93,2063.59,23.42,1.98,1,88.23,18.19,48.84,92.61,No Adaptation,903.57
2011,India,Maharashtra,Rice,11.02,992.46,3.86,1.63,5,31.24,2.84,64.96,37.3,Crop Rotation,630.1
2013,India,West Bengal,Cotton,19.12,1106.47,22.76,2.187,7,32.61,44.62,75.87,39.1,Drought-resistant Crops,587.49
2003,India,Tamil Nadu,Sugarcane,34.59,1495.7,18.11,2.772,0,13.98,34.82,22.66,32.28,Crop Rotation,832.69
2021,India,Punjab,Barley,-3.29,556.02,2.03,2.49,7,50.79,9.77,76.74,98.24,Crop Rotation,719.53
2023,India,Tamil Nadu,Corn,23.65,2372.85,20.04,1.728,7,91.12,36.36,35.66,75.18,Water Management,565.81
2019,India,West Bengal,Coffee,6.29,1133.06,11.44,2.37,6,48.1,0.45,77.01,40.96,Crop Rotation,733.27
2017,India,Maharashtra,Wheat,6.89,1805.67,27.78,2.007,4,40.29,14.06,6.89,31.56,Drought-resistant Crops,410.04
1992,India,Maharashtra,Rice,13.67,302.04,8.73,3.321,3,67.26,8.54,96.05,43.9,Water Management,563.1
1994,India,Punjab,Vegetables,20.93,2493.1,29.51,1.233,6,15.63,34.18,16.79,88.34,Drought-resistant Crops,424.74
2019,India,West Bengal,Corn,-2.67,1888.15,25.56,0.594,8,27.77,25.78,13.72,82.04,Organic Farming,137.36
2016,India,Tamil Nadu,Fruits,34.26,2154.55,12.88,2.68,2,49.34,7.4,59.07,87.53,No Adaptation,1321.97
1992,India,Tamil Nadu,Soybeans,7.47,600.5,18.23,0.945,4,38.98,13.06,69.47,84.4,Water Management,335.56
2008,India,Tamil Nadu,Barley,15.51,1911.74,29.87,3.969,10,71.09,0.78,19.68,63.65,Crop Rotation,921.78
